name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1055;0;1055;3153;1109;3153;1109;0
header;271;193;271;224;1894;224;1894;193
A;1072;255;1072;282;1093;282;1093;255
B;1075;925;1075;951;1093;951;1093;925
C;1075;1598;1075;1625;1096;1625;1096;1598
A;1051;1930;1051;1934;1062;1934;1062;1930
B;1052;2098;1052;2117;1064;2117;1064;2098
D;1080;2281;1080;2307;1101;2307;1101;2281
A;1053;2316;1053;2319;1062;2319;1062;2316
B;1052;2448;1052;2466;1063;2466;1063;2448
A;1055;2631;1055;2635;1061;2635;1061;2631
